X1_ActualPosition,X1_ActualVelocity,X1_ActualAcceleration,X1_CommandPosition,X1_CommandVelocity,X1_CommandAcceleration,X1_CurrentFeedback,X1_DCBusVoltage,X1_OutputCurrent,X1_OutputVoltage,X1_OutputPower,Y1_ActualPosition,Y1_ActualVelocity,Y1_ActualAcceleration,Y1_CommandPosition,Y1_CommandVelocity,Y1_CommandAcceleration,Y1_CurrentFeedback,Y1_DCBusVoltage,Y1_OutputCurrent,Y1_OutputVoltage,Y1_OutputPower,Z1_ActualPosition,Z1_ActualVelocity,Z1_ActualAcceleration,Z1_CommandPosition,Z1_CommandVelocity,Z1_CommandAcceleration,Z1_CurrentFeedback,Z1_DCBusVoltage,Z1_OutputCurrent,Z1_OutputVoltage,S1_ActualPosition,S1_ActualVelocity,S1_ActualAcceleration,S1_CommandPosition,S1_CommandVelocity,S1_CommandAcceleration,S1_CurrentFeedback,S1_DCBusVoltage,S1_OutputCurrent,S1_OutputVoltage,S1_OutputPower,S1_SystemInertia,M1_CURRENT_PROGRAM_NUMBER,M1_sequence_number,M1_CURRENT_FEEDRATE,Machining_Process,Clamp_Pressure
198,0,6.25,198,0,0,-1.1,0.02,328,1.67,0,158,-0.05,-31.3,158,0,0,-1.05,0.02,327,2.45,0,119,-0.03,-6.25,119,0,0,0,0,0,0,-978,0,-0.5,-978,0,0,-0.42,0,328,0,0,12,1,2,50,Prep,4
198,0.03,18.8,198,0,0,0.5,0.02,328,1.54,0,158,-0.03,-12.5,158,0,0,0.06,0.02,327,1.16,0,119,0,0,119,0,0,0,0,0,0,-978,0,-0.75,-978,0,0,0.88,0,328,0,0,12,1,0,50,Prep,4
198,0,12.5,198,0,0,1.14,0.02,328,2.32,0,158,-0.03,-18.8,158,0,0,0.37,0.02,327,0.76,0,119,0,0,119,0,0,0,0,0,0,-978,0,1.31,-978,0,0,-0.42,0,328,0,0,12,1,0,50,Prep,4
198,0,0,198,0,0,-0.3,0.02,328,0.81,0,158,-0.05,-25,158,0,0,-0.41,0.02,327,2.62,0,119,-0.03,-6.25,119,0,0,0,0,0,0,-978,0,-0.25,-978,0,0,-0.15,0,328,0,0,12,1,0,50,Prep,4
198,0,0,198,0,0,-0.46,0.02,328,1.12,0,158,-0.05,-25,158,0,0,-0.57,0.02,326,2.33,0,119,0,0,119,0,0,0,0,0,0,-978,0,-0.25,-978,0,0,-0.68,0,327,0,0,12,1,0,50,Prep,4
198,0,6.25,198,0,0,4.65,0.03,328,7.47,0,158,-0.03,-18.8,158,0,0,-0.26,0.02,327,1.29,0,119,0,0,119,0,0,0,0,0,0,-978,0,0.25,-978,0,0,-0.42,0,327,0,0,12,1,0,50,Prep,4
198,0,0,198,0,0,-1.58,0.02,328,2.43,0,158,-0.05,-31.3,158,0,0,0.37,0.02,327,0.94,0,119,0,0,119,0,0,0,0,0,0,-978,0,0.5,-978,0,0,-0.68,0,328,0,0,12,1,0,50,Prep,4
198,-0.03,-6.25,198,0,0,-1.1,0.02,328,1.85,0,158,-0.05,-18.8,158,0,0,-0.73,0.02,327,2.79,0,119,-0.03,-12.5,119,0,0,0,0,0,0,-978,0,-0.25,-978,0,0,-0.68,0,328,0,0,12,1,0,50,Prep,4
198,0,0,198,0,0,-0.3,0.02,328,1.37,0,158,-0.03,-18.8,158,0,0,-1.69,0.02,327,4.05,0,119,0,6.25,119,0,0,0,0,0,0,-978,0,-0.5,-978,0,0,-0.94,0,328,0,0,12,1,0,50,Prep,4
198,0,0,198,0,0,0.02,0.02,328,1.42,0,158,-0.03,-18.8,158,0,0,-1.37,0.02,326,3.06,0,119,0,6.25,119,0,0,0,0,0,0,-978,0,-0.25,-978,0,0,0.1,0,327,0,0,12,1,0,50,Prep,4
198,0,6.25,198,0,0,-1.26,0.02,328,2.49,0,158,0,-12.5,158,0,0,-1.05,0.02,327,3,0,119,0,0,119,0,0,0,0,0,0,-978,0,0,-978,0,0,0.11,0,328,0,0,12,1,0,50,Prep,4
159,0.15,75,159,0,0,0.34,0.06,325,5.08,0,85,5.9,43.8,85,6,0,6.08,0.11,323,13.9,0,28.7,0,0,28.7,0,0,0,0,0,0,1250,53.4,23.3,1250,53.3,0,16,0.95,316,117,0.18,12,1,2,6,Prep,4
159,0.13,62.5,159,-0.02,-5.86,2.92,0.06,325,1.11,0,85.5,-0.75,-631,85.6,5.5,875,-1.12,0.16,323,1.94,0,28.7,0,0,28.7,0,0,0,0,0,0,1260,53.4,15.4,1260,53.3,0,18.9,0.71,317,116,0.14,12,1,63,6,Prep,4
159,-0.68,62.5,159,-0.89,-8.98,-4.68,0.06,325,6.99,0,86.1,5.8,12.5,86.1,5.93,-1.32,8.47,0.15,324,15.9,0,28.7,-0.03,-12.5,28.7,0,0,0,0,0,0,1260,53.4,19.6,1260,53.3,0,20.1,0.79,321,119,0.15,12,1,63,6,Prep,4
159,-1.52,50,159,-1.78,-8.67,-4.09,0.08,325,10.2,0,86.7,5.47,-62.5,86.7,5.73,-2.66,6.28,0.11,324,15.8,0,28.7,-0.03,-12.5,28.7,0,0,0,0,0,0,1270,53.2,-15.9,1270,53.3,0,27.4,1.07,320,118,0.21,12,1,63,6,Prep,4
159,-2.38,37.5,159,-2.62,-8.17,-4.47,0.08,325,11.1,0,87.2,5.32,-75,87.3,5.4,-3.94,3.65,0.06,324,13,0,28.7,0,0,28.7,0,0,0,0,0,0,1270,53.4,27.5,1280,53.3,0,13.4,0.92,319,115,0.17,12,1,63,6,Prep,4
159,-3.35,-12.5,159,-3.4,-7.49,-4.67,0.07,325,8.9,0,87.8,4.85,-68.7,87.8,4.94,-5.12,7.84,0.1,323,9.81,0,28.7,0,0,28.7,0,0,0,0,0,0,1280,53.3,-26.1,1280,53.3,0,22.8,0.86,321,120,0.16,12,1,63,6,Prep,4
158,-4.13,-31.3,158,-4.11,-6.63,-4.7,0.09,325,12.1,0,88.2,4.38,18.8,88.3,4.37,-6.19,6.6,0.11,324,12,0,28.7,0.03,6.25,28.7,0,0,0,0,0,0,1290,53.3,-4.63,1290,53.3,0,22.1,1.03,319,116,0.2,12,1,63,6,Prep,4
158,-4.82,-25,158,-4.72,-5.62,-3.67,0.07,325,11.7,0,88.6,3.92,-18.8,88.7,3.7,-7.12,4.52,0.09,323,11,0,28.7,-0.03,-12.5,28.7,0,0,0,0,0,0,1290,53.4,39.2,1290,53.3,0,17.9,0.82,320,118,0.16,12,1,63,6,Prep,4
157,-5.22,-37.5,157,-5.22,-4.49,-5.24,0.09,325,12.7,0,89,3.03,-37.5,89,2.95,-7.89,4.75,0.08,324,9.84,0,28.7,-0.03,-12.5,28.7,0,0,0,0,0,0,1300,53.2,-79.9,1300,53.3,0,25.7,0.93,321,121,0.18,12,1,63,6,Prep,4
157,-5.72,-37.5,157,-5.62,-3.19,-5.58,0.1,324,12.5,0,89.2,2.28,-6.25,89.3,2.1,-8.49,5.32,0.11,323,9.61,0,28.7,0,0,28.7,0,0,0,0,0,0,1300,53.2,-36.8,1300,53.3,0,24.7,1.06,315,118,0.2,12,1,63,6,Prep,4
162,0.08,43.8,162,0,0,2.22,0.06,325,2.06,0,79,-6.2,-50,79,-6,0,-5.63,0.12,323,15.3,0,29.7,0,6.25,29.7,0,0,0,0,0,0,443,53.3,-44.9,443,53.3,0,23.9,1.02,316,116,0.2,12,1,2,6,Prep,4
162,0.05,25,162,0,0,1.38,0.06,325,3.47,0,78.4,-5.97,-25,78.4,-6,0,-8.54,0.16,323,16.1,0,29.7,0.03,12.5,29.7,0,0,0,0,0,0,448,53.3,-11.8,449,53.3,0,20.5,0.94,317,117,0.18,12,1,42,6,Prep,4
162,-0.08,-43.8,162,0,0,3.87,0.04,325,4.1,0,77.9,-5.88,-50,77.8,-6,0,-7.34,0.14,323,16.1,0,29.7,0.03,12.5,29.7,0,0,0,0,0,0,453,53.2,-45.7,454,53.3,0,23.8,1.08,320,119,0.21,12,1,42,6,Prep,4
162,0.05,31.3,162,0,0,1.93,0.06,325,2.99,0,77.2,-5.9,-31.3,77.2,-6,0,-7.63,0.13,323,14.9,0,29.7,0.03,12.5,29.7,0,0,0,0,0,0,459,53.4,-11.3,459,53.3,0,19.3,0.91,316,115,0.18,12,1,42,6,Prep,4
162,-0.08,-43.8,162,0,0,2.21,0.05,325,5.89,0,76.8,-5.03,-775,76.8,-6,0,-26.8,0.38,323,21.8,0.01,29.7,0.03,-12.5,29.7,0,0,0,0,0,0,464,53.3,-46.1,464,53.3,0,20.1,0.94,321,118,0.18,12,1,42,6,Prep,4
162,0.08,37.5,162,0,0,1.93,0.05,325,2.28,0,76.2,-6.28,12.5,76.1,-6,0,-5.88,0.11,323,13.5,0,29.7,0.03,12.5,29.7,0,0,0,0,0,0,469,53.3,-4.88,470,53.3,0,26.3,1.08,315,118,0.21,12,1,44,6,Prep,4
162,-0.05,-18.8,162,0,0,1.66,0.06,325,3.33,0,75.6,-6.38,-43.8,75.5,-6,0,-4.84,0.12,323,15.6,0,29.7,0,0,29.7,0,0,0,0,0,0,475,53.5,45.1,475,53.3,0,14.3,0.89,315,113,0.17,12,1,44,6,Prep,4
162,0.05,18.8,162,0,0,1.93,0.06,325,2.59,0,75,-5.6,75,75,0,500,-4.79,0.12,323,13.5,0,29.7,0.03,12.5,29.7,0,0,0,0,0,0,480,53.3,-22.1,481,53.3,0,25.3,0.85,316,118,0.16,12,1,44,6,Prep,4
162,-1.23,-56.3,162,-1.24,-13.5,-3.86,0.07,325,4.66,0,74.5,-5.55,100,74.4,-5.87,2.78,-4.89,0.08,323,14.1,0,29.7,0,0,29.7,0,0,0,0,0,0,485,53.3,-0.75,486,53.3,0,21.5,1.05,315,118,0.2,12,1,44,6,Prep,4
162,-2.4,-12.5,162,-2.54,-12.5,-5.26,0.11,325,10.1,0,73.9,-5.7,-43.8,73.9,-5.43,5.77,-2.05,0.06,323,11.6,0,29.7,0.03,12.5,29.7,0,0,0,0,0,0,491,53.4,41.6,491,53.3,0,18.9,0.83,315,116,0.16,12,1,44,6,Prep,4
198,-0.03,-18.8,198,0,0,1.62,0.02,328,1.94,0,158,0,0,158,0,0,-0.73,0.02,326,2.12,0,119,-0.03,-12.5,119,0,0,0,0,0,0,-978,0,0.5,-978,0,0,-0.16,0,327,0,0,12,1,2,50,Prep,4
198,0,0,198,0,0,-3.5,0.02,328,4.78,0,158,0.03,12.5,158,0,0,-0.58,0.02,326,1.59,0,119,0,0,119,0,0,0,0,0,0,-978,0,0.69,-978,0,0,-0.16,0,327,0,0,12,1,0,50,Prep,4
198,0,0,198,0,0,-1.26,0.02,328,1.7,0,158,0,0,158,0,0,-2.01,0.02,326,3.07,0,119,-0.03,-6.25,119,0,0,0,0,0,0,-978,0,0.75,-978,0,0,-0.94,0,328,0,0,12,1,0,50,Prep,4
198,-0.03,-18.8,198,0,0,-0.62,0.02,328,0.86,0,158,0,6.25,158,0,0,-0.58,0.02,326,1.93,0,119,-0.03,-12.5,119,0,0,0,0,0,0,-978,0,0,-978,0,0,-0.42,0,328,0,0,12,1,0,50,Prep,4
198,0,0,198,0,0,-1.26,0.02,328,2.09,0,158,0,6.25,158,0,0,0.05,0.01,326,0.74,0,119,0,0,119,0,0,0,0,0,0,-978,0,0.5,-978,0,0,-0.16,0,328,0,0,12,1,0,50,Prep,4
198,-0.05,-6.25,198,0,0,0.66,0.02,328,0.52,0,158,0.03,6.25,158,0,0,0.21,0.03,327,0.31,0,119,0,0,119,0,0,0,0,0,0,-978,0,-0.5,-978,0,0,-0.94,0,328,0,0,12,1,0,50,Prep,4
198,0.03,6.25,198,0,0,0.02,0.02,328,0.69,0,158,0,0,158,0,0,0.54,0.02,326,0.68,0,119,0.03,6.25,119,0,0,0,0,0,0,-978,0,0.5,-978,0,0,-0.16,0,328,0,0,12,1,0,50,Prep,4
198,0,-6.25,198,0,0,-0.62,0.02,328,1.07,0,158,0.03,6.25,158,0,0,-0.26,0.02,326,1.65,0,119,0,0,119,0,0,0,0,0,0,-978,0,0.25,-978,0,0,-0.94,0,328,0,0,12,1,0,50,Prep,4
198,-0.08,-31.3,198,0,0,-0.14,0.02,328,1.36,0,158,-0.08,-37.5,158,0,0,-0.74,0.02,327,2.88,0,119,0,6.25,119,0,0,0,0,0,0,-978,0,-0.63,-978,0,0,-0.42,0,328,0,0,12,1,0,50,Prep,4
198,0.03,12.5,198,0,0,-2.06,0.02,328,2.58,0,158,-0.05,-25,158,0,0,0.06,0.02,327,2.09,0,119,-0.03,-12.5,119,0,0,0,0,0,0,-978,0,-0.5,-978,0,0,4,0,328,0,0,12,1,0,50,Prep,4
198,-0.03,-6.25,198,0,0,-0.14,0.02,328,0.59,0,158,-0.03,-12.5,158,0,0,-1.53,0.02,327,3.57,0,119,0,6.25,119,0,0,0,0,0,0,-978,0,-0.81,-978,0,0,-0.42,0,328,0,0,12,1,0,50,Prep,4
198,0,6.25,198,0,0,-0.3,0.03,328,0.86,0,158,-0.08,-31.3,158,0,0,-0.89,0.02,326,3.12,0,119,0,0,119,0,0,0,0,0,0,-978,0,0.19,-978,0,0,-0.68,0,328,0,0,12,1,0,50,Prep,4
198,0.05,25,198,0,0,-1.26,0.02,328,0.78,0,158,-0.05,-31.3,158,0,0,-1.05,0.02,326,3.09,0,119,0,6.25,119,0,0,0,0,0,0,-978,0,0.25,-978,0,0,-0.42,0,327,0,0,12,1,0,50,Prep,4
198,0,0,198,0,0,-1.42,0.03,328,2.09,0,158,-0.03,-18.8,158,0,0,-0.58,0.02,327,2.57,0,119,0.03,12.5,119,0,0,0,0,0,0,-978,0,-0.25,-978,0,0,-0.15,0,328,0,0,12,1,0,50,Prep,4
198,-0.03,-6.25,198,0,0,0.34,0.02,328,1.41,0,158,-0.03,-12.5,158,0,0,-1.05,0.02,327,2.7,0,119,-0.03,-6.25,119,0,0,0,0,0,0,-978,0,0.25,-978,0,0,-0.16,0,328,0,0,12,1,0,50,Prep,4
198,0,0,198,0,0,-1.58,0.02,328,1.46,0,158,-0.05,-25,158,0,0,-0.57,0.02,327,2.71,0,119,-0.03,-12.5,119,0,0,0,0,0,0,-978,0,-0.5,-978,0,0,-0.68,0,328,0,0,12,1,0,50,Prep,4
198,-0.05,-18.8,198,0,0,0.66,0.02,328,0.11,0,158,-0.05,-18.8,158,0,0,-0.11,0.02,327,1.76,0,119,0,0,119,0,0,0,0,0,0,-978,0,-1.13,-978,0,0,-0.42,0,328,0,0,12,1,0,50,Prep,4
198,-0.03,0,198,0,0,1.78,0.02,328,2.49,0,158,-0.05,-25,158,0,0,0.85,0.02,327,0.19,0,119,-0.03,-12.5,119,0,0,0,0,0,0,-978,0,0.69,-978,0,0,0.37,0,328,0,0,12,1,0,50,Prep,4
198,0,6.25,198,0,0,0.02,0.02,328,0.88,0,158,-0.03,-25,158,0,0,0.06,0.01,327,1.6,0,119,0,0,119,0,0,0,0,0,0,-978,0,-0.63,-978,0,0,0.1,0,328,0,0,12,1,0,50,Prep,4
198,0,0,198,0,0,0.34,0.02,328,0.48,0,158,-0.05,-25,158,0,0,-0.26,0.02,326,2,0,119,-0.03,-12.5,119,0,0,0,0,0,0,-978,0,-1,-978,0,0,-0.94,0,328,0,0,12,1,0,50,Prep,4
198,0.03,12.5,198,0,0,-0.14,0.02,328,1.01,0,158,-0.03,-12.5,158,0,0,-0.73,0.02,326,2.73,0,119,0.03,6.25,119,0,0,0,0,0,0,-978,0,-0.63,-978,0,0,-0.67,0,328,0,0,12,1,0,50,Prep,4
198,0,0,198,0,0,-1.26,0.02,328,1.08,0,158,-0.05,-25,158,0,0,-0.9,0.02,327,2.63,0,119,0.03,6.25,119,0,0,0,0,0,0,-978,0,-0.5,-978,0,0,-1.2,0,328,0,0,12,1,0,50,Prep,4
198,0,0,198,0,0,-0.46,0.03,328,1.2,0,158,-0.05,-25,158,0,0,-1.37,0.02,327,3.06,0,119,0,0,119,0,0,0,0,0,0,-978,0,-0.25,-978,0,0,-0.42,0,328,0,0,12,1,0,50,Prep,4
198,-0.03,-6.25,198,0,0,0.02,0.02,328,0.16,0,158,-0.05,-25,158,0,0,-2.01,0.02,327,4.57,0,119,0,0,119,0,0,0,0,0,0,-978,0,-0.5,-978,0,0,-0.42,0,328,0,0,12,1,0,50,Prep,4
198,-0.03,-6.25,198,0,0,-0.62,0.02,328,1.52,0,158,-0.03,-18.8,158,0,0,-1.37,0.02,327,3.83,0,119,0,0,119,0,0,0,0,0,0,-978,0,-0.25,-978,0,0,-0.94,0,328,0,0,12,1,0,50,Prep,4
198,0,0,198,0,0,-0.46,0.02,328,1.06,0,158,-0.08,-31.3,158,0,0,0.37,0.02,327,0.94,0,119,0,0,119,0,0,0,0,0,0,-978,0,-0.44,-978,0,0,-0.42,0,328,0,0,12,1,0,50,Prep,4
198,-0.03,-12.5,198,0,0,-0.14,0.02,328,0.28,0,158,-0.05,-12.5,158,0,0,-0.73,0.02,327,2.96,0,119,0,0,119,0,0,0,0,0,0,-978,0,0.25,-978,0,0,0.36,0,327,0,0,12,1,0,50,Prep,4
198,0,6.25,198,0,0,0.02,0.03,328,0.8,0,158,-0.05,-31.3,158,0,0,-1.05,0.02,326,2.99,0,119,0,0,119,0,0,0,0,0,0,-978,0,0,-978,0,0,-0.94,0,328,0,0,12,1,0,50,Prep,4
198,0,0,198,0,0,0.34,0.02,328,1.42,0,158,0,-12.5,158,0,0,-1.69,0.02,327,3.82,0,119,0,6.25,119,0,0,0,0,0,0,-978,0,0.25,-978,0,0,-0.67,0,327,0,0,12,1,0,50,Prep,4
198,-0.03,-18.8,198,0,0,-1.74,0.02,328,1.99,0,158,-0.03,-18.8,158,0,0,-0.43,0.02,326,1.52,0,119,0.03,12.5,119,0,0,0,0,0,0,-978,0,-0.63,-978,0,0,0.1,0,328,0,0,12,1,0,50,Prep,4
198,0,0,198,0,0,-0.94,0.02,328,1.7,0,158,-0.05,-25,158,0,0,-1.05,0.02,327,3.14,0,119,0,0,119,0,0,0,0,0,0,-978,0,0,-978,0,0,-0.67,0,328,0,0,12,1,0,50,Prep,4
198,0,-6.25,198,0,0,-0.46,0.03,328,1.45,0,158,-0.03,-12.5,158,0,0,-0.27,0.02,326,2.03,0,119,0.03,6.25,119,0,0,0,0,0,0,-978,0,0.75,-978,0,0,0.1,0,328,0,0,12,1,0,50,Prep,4
198,0.03,6.25,198,0,0,-0.78,0.03,328,0.7,0,158,-0.08,-31.3,158,0,0,-1.21,0.02,327,3.57,0,119,0.03,6.25,119,0,0,0,0,0,0,-978,0,0.25,-978,0,0,-0.42,0,328,0,0,12,1,0,50,Prep,4
198,0,0,198,0,0,-0.3,0.02,328,0.78,0,158,0,-12.5,158,0,0,-0.42,0.02,326,1.61,0,119,0,0,119,0,0,0,0,0,0,-978,0,0,-978,0,0,-0.16,0,327,0,0,12,1,0,50,Prep,4
162,-18,12.5,162,-17.9,0,-5.22,0.11,327,29.9,0,92.3,-32.3,-25,92.1,-32.4,0,-12,0.19,325,48.8,0.01,50.8,-33.5,18.8,50.5,-33.6,0,0,0,0,0,-978,0,0.25,-978,0,0,-1.2,0,327,0,0,12,1,2,50,Prep,4
160,-18,-50,160,-17.9,0,-6.64,0.13,327,31,0,89.1,-32.6,-125,88.8,-32.4,0,-9.36,0.16,325,48.7,0.01,47.4,-33.5,18.8,47.1,-33.6,0,0,0,0,0,-978,0,-0.25,-978,0,0,-0.42,0,327,0,0,12,1,7,50,Prep,4
158,-18,-68.7,158,-17.9,0,-6.31,0.11,327,31.2,0,85.9,-32.4,37.5,85.6,-32.4,0,-8.83,0.19,325,49.3,0.01,44,-33.6,-12.5,43.8,-33.6,0,0,0,0,0,-978,0,-0.5,-978,0,0,-0.17,0,327,0,0,12,1,7,50,Prep,4
156,-17.8,-18.8,156,-17.9,0,-9.01,0.13,327,30.5,0,82.6,-32.6,-75,82.4,-32.4,0,-7.62,0.16,325,49.7,0.01,40.7,-33.7,-25,40.4,-33.6,0,0,0,0,0,-978,0,0,-978,0,0,-0.94,0,327,0,0,12,1,7,50,Prep,4
155,-17.7,62.5,154,-17.9,0,-7.17,0.12,327,28.3,0,79.4,-32.5,56.3,79.1,-32.4,0,-7.85,0.12,325,46.8,0.01,37.3,-33.7,-25,37.1,-33.6,0,0,0,0,0,-978,0,-0.25,-978,0,0,-0.16,0,327,0,0,12,1,7,50,Prep,4
153,-18,6.25,153,-17.9,0,-5.81,0.11,326,27.3,0,76.1,-32.1,131,75.9,-32.4,0,-11.1,0.19,325,48.6,0.01,34,-33.8,-62.5,33.7,-33.6,0,0,0,0,0,-978,0,0.19,-978,0,0,-0.94,0,327,0,0,12,1,7,50,Prep,4
151,-9.02,206,151,-5.7,358,-0.66,0.05,327,13.6,0,73.2,-15.4,744,73.1,-10.3,648,-1.2,0.02,326,18.5,0,30.9,-15.9,687,30.8,-10.7,672,0,0,0,0,-978,0,0.06,-978,0,0,-1.2,0,327,0,0,12,1,7,50,Prep,4
151,0.08,31.3,151,0,0,0.15,0.02,328,1.86,0,73,0.03,6.25,73,0,0,-0.26,0.02,327,1.17,0,30.7,0.08,37.5,30.7,0,0,0,0,0,0,-978,0,1.06,-978,0,0,-0.17,0.02,327,1.02,0,12,1,7,50,Prep,4
151,0.05,25,151,0,0,0.45,0.02,328,1.34,0,73,0.03,12.5,73,0,0,-1.86,0.03,327,2.89,0,30.7,0.05,25,30.7,0,0,0,0,0,0,-978,0,-0.69,-978,0,0,-2.51,0.05,327,3.43,0,12,1,9,50,Prep,4
151,0.08,37.5,151,0,0,0.27,0.03,326,1.99,0,73,0.03,12.5,73,0,0,-0.74,0.02,325,2.77,0,30.7,0.03,12.5,30.7,0,0,0,0,0,0,-978,8.98,93.4,-978,9.8,100,63.1,2.72,321,33.8,0.09,12,1,9,6,Layer 1 Up,4
