X1_ActualPosition,X1_ActualVelocity,X1_ActualAcceleration,X1_CommandPosition,X1_CommandVelocity,X1_CommandAcceleration,X1_CurrentFeedback,X1_DCBusVoltage,X1_OutputCurrent,X1_OutputVoltage,X1_OutputPower,Y1_ActualPosition,Y1_ActualVelocity,Y1_ActualAcceleration,Y1_CommandPosition,Y1_CommandVelocity,Y1_CommandAcceleration,Y1_CurrentFeedback,Y1_DCBusVoltage,Y1_OutputCurrent,Y1_OutputVoltage,Y1_OutputPower,Z1_ActualPosition,Z1_ActualVelocity,Z1_ActualAcceleration,Z1_CommandPosition,Z1_CommandVelocity,Z1_CommandAcceleration,Z1_CurrentFeedback,Z1_DCBusVoltage,Z1_OutputCurrent,Z1_OutputVoltage,S1_ActualPosition,S1_ActualVelocity,S1_ActualAcceleration,S1_CommandPosition,S1_CommandVelocity,S1_CommandAcceleration,S1_CurrentFeedback,S1_DCBusVoltage,S1_OutputCurrent,S1_OutputVoltage,S1_OutputPower,S1_SystemInertia,M1_CURRENT_PROGRAM_NUMBER,M1_sequence_number,M1_CURRENT_FEEDRATE,Machining_Process,Clamp_Pressure
198,0,0,198,0,0,0.18,0.02,329,2.77,0,158,-0.03,-6.25,158,0,0,0.54,0.02,328,1.84,0,119,0,0,119,0,0,0,0,0,0,-361,0,0.25,-361,0,0,0.52,0,329,0,0,12,1,0,50,Starting,4
198,-10.8,-350,198,-13.6,-358,-10.9,0.19,328,23.3,0,158,-19.8,-750,157,-24.6,-647,-14.5,0.28,325,37.8,0.01,119,-20.3,-712,118,-25.6,-674,0,0,0,0,-361,0,0.25,-361,0,0,-0.29,0,328,0,0,12,1,4,50,Prep,4
196,-17.8,-6.25,196,-17.9,0,-8.59,0.14,328,30.6,0.01,154,-32.5,0,154,-32.3,0,-7.79,0.14,327,49.4,0.01,115,-33.7,37.5,115,-33.7,0,0,0,0,0,-361,0,-0.44,-361,0,0,0.52,0,328,0,0,12,1,7,50,Prep,4
194,-18,0,194,-17.9,0,-6.11,0.13,327,30.3,0,151,-32.6,-62.5,151,-32.3,0,-8.13,0.16,325,47.6,0.01,112,-33.7,-6.25,112,-33.7,0,0,0,0,0,-361,0,-0.25,-361,0,0,-0.18,0,328,0,0,12,1,7,50,Prep,4
193,-17.9,-18.8,192,-17.9,0,-5.7,0.11,328,30.5,0,148,-32,138,148,-32.3,0,-13.8,0.2,326,47.1,0.01,109,-33.6,18.8,108,-33.7,0,0,0,0,0,-361,0,-0.19,-361,0,0,0.23,0,328,0,0,12,1,7,50,Prep,4
191,-17.6,81.2,191,-17.9,0,-5.85,0.13,328,30.9,0,145,-32.4,-12.5,144,-32.3,0,-9.78,0.17,326,49.6,0.01,105,-33.7,-6.25,105,-33.7,0,0,0,0,0,-361,0,0,-361,0,0,0.82,0,328,0,0,12,1,7,50,Prep,4
189,-17.9,-6.25,189,-17.9,0,-5.84,0.1,328,29.3,0,141,-32.3,81.2,141,-32.3,0,-8.56,0.18,326,50,0.01,102,-33.5,62.5,102,-33.7,0,0,0,0,0,-361,0,-0.06,-361,0,0,0.52,0,328,0,0,12,1,2,50,Prep,4
187,-17.8,50,187,-17.9,0,-7.31,0.12,327,29.1,0,138,-32.3,50,138,-32.3,0,-8,0.19,325,50.8,0.01,98.6,-33.7,18.8,98.3,-33.7,0,0,0,0,0,-361,0,0,-361,0,0,-0.29,0,328,0,0,12,1,7,50,Prep,4
185,-17.9,25,185,-17.9,0,-7.98,0.11,328,29.4,0,135,-32.3,37.5,135,-32.3,0,-9.96,0.15,327,49.7,0.01,95.1,-33.6,18.8,94.8,-33.7,0,0,0,0,0,-361,0,-0.19,-361,0,0,-0.1,0,328,0,0,12,1,7,50,Prep,4
184,-17.9,12.5,183,-17.9,0,-7.44,0.14,328,29.8,0.01,132,-32.7,-31.3,132,-32.3,0,-6.29,0.12,325,48.1,0.01,91.8,-33.7,-37.5,91.6,-33.7,0,0,0,0,0,-361,0,0,-361,0,0,0.12,0,328,0,0,12,1,7,50,Prep,4
182,-18.1,-56.3,182,-17.9,0,-4.52,0.11,327,31.3,0,129,-32.1,113,128,-32.3,0,-8.62,0.19,325,48.6,0.01,88.5,-33.7,-25,88.2,-33.7,0,0,0,0,0,-361,0,0.25,-361,0,0,-0.29,0,328,0,0,12,1,7,50,Prep,4
180,-17.7,62.5,180,-17.9,0,-5.53,0.13,328,31.6,0,125,-32.3,12.5,125,-32.3,0,-10.9,0.18,326,50.6,0.01,85,-33.7,0,84.7,-33.7,0,0,0,0,0,-361,0,0.06,-361,0,0,0.12,0,328,0,0,12,1,7,50,Prep,4
178,-17.9,-37.5,178,-17.9,0,-7.55,0.12,327,30.4,0,122,-32.4,-6.25,122,-32.3,0,-10.5,0.17,325,50.4,0.01,81.7,-33.6,6.25,81.5,-33.7,0,0,0,0,0,-361,0,-0.69,-361,0,0,2.34,0,328,0,0,12,1,7,50,Prep,4
176,-17.8,106,176,-17.9,0,-8.41,0.13,327,28.5,0.01,119,-32.3,50,119,-32.3,0,-8.39,0.18,325,49.4,0.01,78.4,-33.7,-12.5,78.1,-33.7,0,0,0,0,0,-361,0,1.19,-361,0,0,-0.29,0,328,0,0,12,1,7,50,Prep,4
