X1_ActualPosition,X1_ActualVelocity,X1_ActualAcceleration,X1_CommandPosition,X1_CommandVelocity,X1_CommandAcceleration,X1_CurrentFeedback,X1_DCBusVoltage,X1_OutputCurrent,X1_OutputVoltage,X1_OutputPower,Y1_ActualPosition,Y1_ActualVelocity,Y1_ActualAcceleration,Y1_CommandPosition,Y1_CommandVelocity,Y1_CommandAcceleration,Y1_CurrentFeedback,Y1_DCBusVoltage,Y1_OutputCurrent,Y1_OutputVoltage,Y1_OutputPower,Z1_ActualPosition,Z1_ActualVelocity,Z1_ActualAcceleration,Z1_CommandPosition,Z1_CommandVelocity,Z1_CommandAcceleration,Z1_CurrentFeedback,Z1_DCBusVoltage,Z1_OutputCurrent,Z1_OutputVoltage,S1_ActualPosition,S1_ActualVelocity,S1_ActualAcceleration,S1_CommandPosition,S1_CommandVelocity,S1_CommandAcceleration,S1_CurrentFeedback,S1_DCBusVoltage,S1_OutputCurrent,S1_OutputVoltage,S1_OutputPower,S1_SystemInertia,M1_CURRENT_PROGRAM_NUMBER,M1_sequence_number,M1_CURRENT_FEEDRATE,Machining_Process,Clamp_Pressure
144.00,2.97,12.50,144.00,2.96,0.54,4.16,0.06,326.00,8.07,0.00,105.00,0.60,56.30,105.00,0.46,-3.39,3.52,0.08,325.00,5.58,0.00,28.70,0.00,0.00,28.70,0.00,0.00,0.00,0.00,0.00,0.00,-1340.00,53.50,59.90,-1340.00,53.30,0.00,16.30,0.74,324.00,115.00,0.14,12.00,1.00,2.00,3.00,Prep,4.00
144.00,3.10,0.00,144.00,3.00,0.15,1.80,0.07,327.00,11.00,0.00,105.00,0.20,37.50,105.00,0.12,-3.43,1.60,0.05,325.00,3.67,0.00,28.70,0.00,-6.25,28.70,0.00,0.00,0.00,0.00,0.00,0.00,-1340.00,53.20,-29.90,-1340.00,53.30,0.00,27.90,0.97,323.00,120.00,0.18,12.00,1.00,69.00,3.00,Prep,4.00
144.00,2.92,31.30,144.00,3.00,0.00,4.19,0.09,327.00,11.20,0.00,105.00,0.00,0.00,105.00,0.00,0.00,0.71,0.02,326.00,2.38,0.00,28.70,0.00,0.00,28.70,0.00,0.00,0.00,0.00,0.00,0.00,-1330.00,53.40,16.00,-1330.00,53.30,0.00,19.40,0.99,323.00,116.00,0.19,12.00,1.00,69.00,3.00,Prep,4.00
145.00,2.90,6.25,145.00,3.00,0.00,5.05,0.09,327.00,10.20,0.00,105.00,-0.03,-6.25,105.00,0.00,0.00,0.76,0.03,326.00,2.16,0.00,28.70,0.03,12.50,28.70,0.00,0.00,0.00,0.00,0.00,0.00,-1330.00,53.50,40.10,-1330.00,53.30,0.00,16.50,0.75,324.00,115.00,0.14,12.00,1.00,71.00,3.00,Prep,4.00
145.00,3.00,25.00,145.00,3.00,0.00,3.35,0.06,327.00,8.51,0.00,105.00,-0.03,-12.50,105.00,0.00,0.00,1.56,0.03,326.00,1.29,0.00,28.70,0.00,0.00,28.70,0.00,0.00,0.00,0.00,0.00,0.00,-1320.00,53.20,-78.20,-1320.00,53.30,0.00,26.70,1.00,323.00,120.00,0.19,12.00,1.00,71.00,3.00,Prep,4.00
145.00,3.05,6.25,145.00,3.00,0.00,4.69,0.08,327.00,9.12,0.00,105.00,0.03,6.25,105.00,0.00,0.00,0.80,0.02,325.00,1.78,0.00,28.70,0.00,-6.25,28.70,0.00,0.00,0.00,0.00,0.00,0.00,-1320.00,53.40,41.40,-1320.00,53.30,0.00,17.50,0.85,323.00,118.00,0.16,12.00,1.00,71.00,3.00,Prep,4.00
145.00,3.10,-6.25,145.00,3.00,0.00,2.96,0.07,327.00,9.48,0.00,105.00,0.00,-6.25,105.00,0.00,0.00,1.26,0.03,326.00,0.97,0.00,28.70,0.00,0.00,28.70,0.00,0.00,0.00,0.00,0.00,0.00,-1310.00,53.30,-10.20,-1310.00,53.30,0.00,23.00,0.88,324.00,119.00,0.17,12.00,1.00,71.00,3.00,Prep,4.00
146.00,3.20,37.50,146.00,3.00,0.00,4.85,0.09,327.00,9.47,0.00,105.00,0.00,0.00,105.00,0.00,0.00,1.56,0.03,325.00,1.49,0.00,28.70,0.00,0.00,28.70,0.00,0.00,0.00,0.00,0.00,0.00,-1310.00,53.20,-59.30,-1310.00,53.30,0.00,25.70,1.05,323.00,118.00,0.20,12.00,1.00,71.00,3.00,Prep,4.00
146.00,3.13,31.30,146.00,3.00,0.00,5.15,0.10,327.00,10.40,0.00,105.00,0.00,0.00,105.00,0.00,0.00,0.03,0.03,326.00,2.18,0.00,28.70,-0.03,-6.25,28.70,0.00,0.00,0.00,0.00,0.00,0.00,-1300.00,53.40,40.40,-1300.00,53.30,0.00,18.40,0.85,323.00,119.00,0.16,12.00,1.00,71.00,3.00,Prep,4.00
146.00,2.95,12.50,146.00,3.00,0.00,5.46,0.10,327.00,11.10,0.00,105.00,0.00,0.00,105.00,0.00,0.00,1.48,0.03,325.00,2.56,0.00,28.70,0.00,0.00,28.70,0.00,0.00,0.00,0.00,0.00,0.00,-1290.00,53.40,-12.80,-1290.00,53.30,0.00,21.70,0.85,323.00,116.00,0.16,12.00,1.00,71.00,3.00,Prep,4.00
169.00,-18.00,0.00,169.00,-17.90,0.00,-4.60,0.10,329.00,29.30,0.00,105.00,-32.50,-43.80,105.00,-32.40,0.00,-9.05,0.16,327.00,48.80,0.01,64.00,-33.70,-62.50,63.70,-33.60,0.00,0.00,0.00,0.00,0.00,-2060.00,0.00,0.69,-2060.00,0.00,0.00,0.02,0.00,329.00,0.00,0.00,12.00,1.00,2.00,50.00,Prep,4.00
